category,material,module,assembly,thickness,width,length,count,uses
board,pine,base,floor,45,195,4880,2,rim_joist
board,pine,base,floor,45,195,2350,9,joist
board,pine,base,floor,45,95,565,6,blocking
board,pine,base,floor,45,95,542.5,2,blocking
board,pine,base,north_wall,45,195,4880,2,wall_plate
board,pine,base,north_wall,45,195,2120,11,full_stud
board,pine,base,west_wall,45,195,2050,2,wall_plate
board,pine,base,west_wall,45,195,2120,5,full_stud
board,pine,base,east_wall,45,195,2050,2,wall_plate
board,pine,base,east_wall,45,195,2120,4,full_stud
board,pine,base,east_wall,45,195,1053,2,jack_stud
board,pine,base,east_wall,45,195,1022,3,cripple_stud
board,pine,base,east_wall,45,195,1000,1,rough_sill
board,pine,base,south_wall,45,195,4880,2,wall_plate
board,pine,base,south_wall,45,195,2120,13,full_stud
board,pine,base,inner_wall,45,95,2120,10,full_stud
board,pine,base,inner_wall,45,95,2165,1,full_stud
board,pine,base,inner_wall,45,95,1818,2,wall_plate
board,pine,base,inner_wall,45,95,992,2,wall_plate
board,pine,base,inner_wall,45,95,927,1,wall_plate
board,pine,base,inner_wall,45,95,700,1,door_header
board,pine,base,inner_wall,45,95,182,1,wall_plate
board,pine,half_top,floor,45,95,4880,2,rim_joist
board,pine,half_top,floor,45,95,2350,9,joist
board,pine,half_top,floor,45,95,2305,2,joist
board,pine,half_top,floor,45,95,1785,1,door_header
board,pine,half_top,floor,45,95,950,2,blocking
board,pine,half_top,floor,45,95,565,3,blocking
board,pine,half_top,floor,45,95,513.5,1,blocking
board,pine,half_top,floor,45,95,497.5,2,blocking
board,pine,half_top,floor,45,95,229.5,1,blocking
board,pine,half_top,north_wall,45,195,4880,2,wall_plate
board,pine,half_top,north_wall,45,195,1212.42,11,full_stud
board,pine,half_top,north_wall,45,45,347.5,2,blocking
board,pine,half_top,north_wall,45,45,565,6,blocking
board,pine,half_top,west_wall,45,195,2050,1,wall_plate
board,pine,half_top,west_wall,45,195,2134.37,11,wall_plate
board,pine,half_top,west_wall,45,195,1158.22,11,gable_stud
board,pine,half_top,west_wall,45,195,1022.91,11,gable_stud
board,pine,half_top,west_wall,45,195,889.6,11,gable_stud
board,pine,half_top,west_wall,45,195,755.29,11,gable_stud
board,pine,half_top,west_wall,45,195,620.98,11,gable_stud
board,pine,half_top,east_wall,45,195,2050,1,wall_plate
board,pine,half_top,east_wall,45,195,2134.37,11,wall_plate
board,pine,half_top,east_wall,45,195,1158.22,11,gable_stud
board,pine,half_top,east_wall,45,195,1022.91,11,gable_stud
board,pine,half_top,east_wall,45,195,889.6,1,gable_stud
board,pine,half_top,east_wall,45,195,755.29,1,gable_stud
board,pine,half_top,east_wall,45,195,620.98,1,gable_stud
board,pine,half_top,south_wall,45,195,4880,2,wall_plate
board,pine,half_top,south_wall,45,195,622.94,10,full_stud
board,pine,half_top,south_wall,45,195,1522.5,1,rough_sill
board,pine,half_top,south_wall,45,195,410.51,2,jack_stud
board,pine,half_top,south_wall,45,195,167.42,4,cripple_stud
board,pine,half_top,inner_wall,45,95,1144,1,wall_plate
board,pine,half_top,inner_wall,45,95,1196.41,1,wall_plate
board,pine,half_top,inner_wall,45,95,918.67,1,full_stud
board,pine,half_top,inner_wall,45,95,771.44,1,full_stud
board,pine,half_top,inner_wall,45,95,624.2,1,full_stud
board,pine,roof,roof,45,195,4880,1,ridge
board,pine,roof,roof,45,161.69,4880,1,sub-fascia
board,pine,roof,roof,45,195,2521.33,9,rafter
board,pine,roof,roof,45,195,2671.15,2,end-rafter
board,pine,roof,roof,45,45,2535.01,9,rafter
board,pine,roof,roof,45,95,1762.5,2,window_header
board,pine,roof,roof,45,45,170,18,fascia_spacer
inner_sheathing,plywood,base,floor,15,1220,2440,4,inner_sheathing
inner_sheathing,plywood,base,north_wall,12,1220,2210,2,inner_sheathing
inner_sheathing,plywood,base,north_wall,12,1025,2210,2,inner_sheathing
inner_sheathing,plywood,base,south_wall,12,1025,2210,2,inner_sheathing
inner_sheathing,plywood,base,south_wall,12,907,2210,2,inner_sheathing
inner_sheathing,plywood,base,south_wall,12,583,2210,2,inner_sheathing
inner_sheathing,plywood,base,south_wall,12,45,950,2,inner_sheathing
